geo_code,geo_name,taux_passages_bronchio_sau,taux_hospit_bronchio_sau,taux_actes_bronchio_sos,year,population,pop_lt1,taux_passages_bronchio_sau_popnorm,taux_hospit_bronchio_sau_popnorm,taux_actes_bronchio_sos_popnorm,couv_dose1,couv_complet,couv_rappel,port_du_masque,lavage_des_mains,eviter_les_regrupements,gm_workplaces,score_mnp,tmean,tmean,tmean_szn_pct,tmean_szn_quintile,rsv_pos_pct,geo_level
1,Guadeloupe,1257.4850299,3750.0,,2019,,,,,,,,,,,,,,,,,,,REG
27,Bourgogne et Franche-Comté,1678.3216783,3513.5135135,1013.8248848,2019,,,,,,,,,,,,,,1.6285714285714286,4.928571428571429,37.5,2.0,,REG
32,Hauts-de-France,1654.9295775,2861.7363344,946.34146341,2019,,,,,,,,,,,,,,1.0571428571428572,5.9071428571428575,37.5,2.0,,REG
93,Provence-Alpes-Côte d'Azur,1927.8510473,4777.5175644,764.92537313,2019,,,,,,,,,,,,,,2.142857142857143,5.221428571428571,37.5,2.0,,REG
24,Centre-Val de Loire,2226.2334537,5433.0708661,746.8879668,2019,,,,,,,,,,,,,,0.4285714285714285,5.404285714285714,37.5,2.0,,REG
44,Grand Est,1656.7505721,3995.0372208,803.41880342,2019,,,,,,,,,,,,,,4.75,7.545714285714285,50.0,2.0,,REG
2,Martinique,,,0.0,2019,,,,,,,,,,,,,,,,,,,REG
11,Île-de-France,1273.1481481,3194.8881789,592.99191375,2019,,,,,,,,,,,,,,5.685714285714285,8.788571428571428,50.0,2.0,,REG
52,Pays de la Loire,2049.0196078,3687.150838,1035.4223433,2019,,,,,,,,,,,,,,-0.6857142857142857,2.64,37.5,2.0,,REG
84,Auvergne et Rhône-Alpes,2110.4725415,4749.1039427,1000.0,2019,,,,,,,,,,,,,,0.6957142857142858,5.864285714285715,37.5,2.0,,REG
94,Corse,833.33333333,833.33333333,2500.0,2019,,,,,,,,,,,,,,2.1714285714285713,5.292857142857143,37.5,2.0,,REG
28,Normandie,1966.5907365,4624.2774566,1339.2857143,2019,,,,,,,,,,,,,,1.5571428571428572,4.8428571428571425,37.5,2.0,,REG
53,Bretagne,2042.6829268,4651.1627907,680.27210884,2019,,,,,,,,,,,,,,2.871428571428571,5.8428571428571425,37.5,2.0,,REG
4,Réunion,1004.56621,1886.7924528,,2019,,,,,,,,,,,,,,,,,,,REG
3,Guyane,307.69230769,1333.3333333,,2019,,,,,,,,,,,,,,,,,,,REG
76,Occitanie,2150.8515815,4962.0253165,1226.993865,2019,,,,,,,,,,,,,,3.347142857142857,6.001428571428571,37.5,2.0,,REG
75,Nouvelle Aquitaine,1890.6064209,3802.8169014,839.32853717,2019,,,,,,,,,,,,,,3.257142857142857,5.835714285714286,37.5,2.0,,REG
6,Mayotte,1679.389313,3333.3333333,,2019,,,,,,,,,,,,,,,,,,,REG
6,Mayotte,1206.8965517,1428.5714286,,2020,,,,,,,,,,,,,,,,,,,REG
27,Bourgogne et Franche-Comté,1127.1676301,2783.5051546,765.0273224,2020,,,,,,,,,,,,,,5.471428571428571,7.9,87.5,4.0,,REG
4,Réunion,1134.4537815,2786.8852459,,2020,,,,,,,,,,,,,,,,,,,REG
32,Hauts-de-France,1313.2400431,2591.2408759,699.20844327,2020,,,,,,,,,,,,,,0.942857142857143,6.692857142857143,37.5,2.0,,REG
93,Provence-Alpes-Côte d'Azur,1516.1290323,4067.2782875,326.79738562,2020,,,,,,,,,,,,,,5.128571428571428,7.85,87.5,4.0,,REG
24,Centre-Val de Loire,1707.7464789,4623.655914,848.48484848,2020,,,,,,,,,,,,,,1.0285714285714285,6.268571428571428,50.0,2.0,,REG
44,Grand Est,1329.1925466,3036.3036304,688.17204301,2020,,,,,,,,,,,,,,7.615714285714286,9.758571428571427,87.5,4.0,,REG
75,Nouvelle Aquitaine,1281.4274128,2857.1428571,496.6442953,2020,,,,,,,,,,,,,,5.942857142857143,8.171428571428573,87.5,4.0,,REG
2,Martinique,,,0.0,2020,,,,,,,,,,,,,,,,,,,REG
3,Guyane,315.78947368,869.56521739,,2020,,,,,,,,,,,,,,,,,,,REG
52,Pays de la Loire,1392.2155689,2697.3684211,573.47670251,2020,,,,,,,,,,,,,,2.9214285714285717,5.255714285714285,87.5,4.0,,REG
28,Normandie,1564.4171779,3846.1538462,756.88073394,2020,,,,,,,,,,,,,,4.714285714285714,7.231428571428571,87.5,4.0,,REG
53,Bretagne,1292.6136364,3333.3333333,648.64864865,2020,,,,,,,,,,,,,,6.042857142857143,8.578571428571427,87.5,4.0,,REG
94,Corse,322.58064516,1250.0,909.09090909,2020,,,,,,,,,,,,,,4.942857142857143,7.514285714285714,87.5,4.0,,REG
76,Occitanie,1517.6322418,4186.0465116,717.29957806,2020,,,,,,,,,,,,,,6.768571428571429,8.655714285714286,87.5,4.0,,REG
84,Auvergne et Rhône-Alpes,1521.6421241,3822.1153846,507.09939148,2020,,,,,,,,,,,,,,-0.4371428571428571,6.717142857142858,25.0,1.0,,REG
11,Île-de-France,896.03283174,2457.6271186,281.30671506,2020,,,,,,,,,,,,,,5.821428571428571,9.182857142857143,75.0,4.0,,REG
1,Guadeloupe,1567.1641791,3888.8888889,,2020,,,,,,,,,,,,,,,,,,,REG
6,Mayotte,2162.1621622,3703.7037037,,2020,,,,,,,,,,,,,,,,,,,REG
27,Bourgogne et Franche-Comté,1138.1074169,2842.1052632,769.23076923,2020,,,,,,,,,,,,,,3.6714285714285713,7.042857142857143,100.0,5.0,,REG
75,Nouvelle Aquitaine,1153.250774,2957.7464789,479.70479705,2020,,,,,,,,,,,,,,5.985714285714286,8.642857142857142,100.0,5.0,,REG
52,Pays de la Loire,1359.5166163,2377.0491803,791.7888563,2020,,,,,,,,,,,,,,3.914285714285714,6.508571428571429,100.0,5.0,,REG
11,Île-de-France,803.8585209,1816.6383701,337.62057878,2020,,,,,,,,,,,,,,5.8428571428571425,9.072857142857142,87.5,4.0,,REG
28,Normandie,1234.2079689,2982.4561404,711.11111111,2020,,,,,,,,,,,,,,4.071428571428571,7.357142857142857,100.0,5.0,,REG
93,Provence-Alpes-Côte d'Azur,1273.8853503,2997.2752044,430.10752688,2020,,,,,,,,,,,,,,5.1000000000000005,8.328571428571427,100.0,5.0,,REG
24,Centre-Val de Loire,1322.4637681,2911.3924051,510.20408163,2020,,,,,,,,,,,,,,2.35,7.104285714285714,75.0,4.0,,REG
94,Corse,985.91549296,1428.5714286,2500.0,2020,,,,,,,,,,,,,,5.228571428571429,8.221428571428572,100.0,5.0,,REG
44,Grand Est,1171.0144928,2713.8643068,831.75803403,2020,,,,,,,,,,,,,,6.782857142857144,9.167142857142858,100.0,5.0,,REG
3,Guyane,121.95121951,1000.0,,2020,,,,,,,,,,,,,,,,,,,REG
53,Bretagne,1188.1188119,2746.4788732,476.19047619,2020,,,,,,,,,,,,,,4.671428571428572,7.871428571428572,87.5,4.0,,REG
32,Hauts-de-France,1065.3889515,2232.5581395,643.5006435,2020,,,,,,,,,,,,,,0.4999999999999999,6.221428571428571,50.0,2.0,,REG
4,Réunion,809.71659919,2280.7017544,,2020,,,,,,,,,,,,,,,,,,,REG
1,Guadeloupe,921.05263158,1000.0,,2020,,,,,,,,,,,,,,,,,,,REG
2,Martinique,,,312.5,2020,,,,,,,,,,,,,,,,,,,REG
84,Auvergne et Rhône-Alpes,1388.8888889,3231.441048,740.74074074,2020,,,,,,,,,,,,,,2.7914285714285714,7.367142857142857,87.5,4.0,,REG
76,Occitanie,1245.4655381,3428.5714286,708.66141732,2020,,,,,,,,,,,,,,5.2871428571428565,7.901428571428572,100.0,5.0,,REG
75,Nouvelle Aquitaine,1199.1117691,2959.1836735,666.66666667,2020,,,,,,,,,,,,,,0.3571428571428571,3.1714285714285713,12.5,1.0,,REG
3,Guyane,476.19047619,769.23076923,,2020,,,,,,,,,,,,,,,,,,,REG
52,Pays de la Loire,1651.7285531,2866.6666667,784.88372093,2020,,,,,,,,,,,,,,-2.5785714285714287,2.455714285714286,25.0,1.0,,REG
11,Île-de-France,840.64476637,2153.1100478,280.97982709,2020,,,,,,,,,,,,,,6.607142857142857,9.095714285714283,62.5,3.0,,REG
53,Bretagne,1220.0956938,2900.7633588,905.79710145,2020,,,,,,,,,,,,,,-0.1,3.207142857142857,12.5,1.0,,REG
76,Occitanie,1503.2295948,3509.3167702,572.39057239,2020,,,,,,,,,,,,,,0.4842857142857143,3.0785714285714287,12.5,1.0,,REG
2,Martinique,,,256.41025641,2020,,,,,,,,,,,,,,,,,,,REG
6,Mayotte,2164.9484536,3513.5135135,,2020,,,,,,,,,,,,,,,,,,,REG
28,Normandie,1194.8051948,3529.4117647,635.59322034,2020,,,,,,,,,,,,,,-1.4642857142857142,2.1357142857142857,12.5,1.0,,REG
4,Réunion,1121.4953271,2708.3333333,,2020,,,,,,,,,,,,,,,,,,,REG
1,Guadeloupe,1063.8297872,2000.0,,2020,,,,,,,,,,,,,,,,,,,REG
84,Auvergne et Rhône-Alpes,1345.0292398,3269.6390658,425.19685039,2020,,,,,,,,,,,,,,3.98,7.642857142857143,62.5,3.0,,REG
32,Hauts-de-France,1062.1242485,2000.0,473.18611987,2020,,,,,,,,,,,,,,1.985714285714286,6.892857142857143,50.0,2.0,,REG
27,Bourgogne et Franche-Comté,1584.5070423,3584.9056604,372.09302326,2020,,,,,,,,,,,,,,-1.6999999999999995,1.3357142857142856,12.5,1.0,,REG
94,Corse,545.45454545,0.0,555.55555556,2020,,,,,,,,,,,,,,-0.8857142857142858,2.371428571428571,12.5,1.0,,REG
93,Provence-Alpes-Côte d'Azur,1155.6305356,3096.4467005,392.79869067,2020,,,,,,,,,,,,,,-1.2428571428571429,1.5,12.5,1.0,,REG
24,Centre-Val de Loire,1211.6564417,3333.3333333,521.32701422,2020,,,,,,,,,,,,,,2.185714285714286,7.855714285714286,50.0,2.0,,REG
44,Grand Est,1420.6128134,3294.4606414,505.7096248,2020,,,,,,,,,,,,,,2.5157142857142856,5.21,25.0,1.0,,REG
11,Île-de-France,695.11488704,1538.4615385,337.42331288,2020,,,,,,,,,,,,,,6.564285714285715,11.41,75.0,4.0,,REG
32,Hauts-de-France,1019.6445276,2454.8736462,496.45390071,2020,,,,,,,,,,,,,,4.742857142857143,10.435714285714283,87.5,4.0,,REG
4,Réunion,1055.2763819,2162.1621622,,2020,,,,,,,,,,,,,,,,,,,REG
94,Corse,1460.6741573,2352.9411765,909.09090909,2020,,,,,,,,,,,,,,7.642857142857143,9.892857142857142,100.0,5.0,,REG
52,Pays de la Loire,1436.7816092,2116.7883212,690.69069069,2020,,,,,,,,,,,,,,5.607142857142857,7.724285714285714,87.5,4.0,,REG
27,Bourgogne et Franche-Comté,1280.4232804,2954.5454545,666.66666667,2020,,,,,,,,,,,,,,6.357142857142857,9.042857142857144,100.0,5.0,,REG
75,Nouvelle Aquitaine,1095.3346856,2798.7421384,461.71171171,2020,,,,,,,,,,,,,,8.085714285714285,10.207142857142856,100.0,5.0,,REG
6,Mayotte,2655.3672316,3181.8181818,,2020,,,,,,,,,,,,,,,,,,,REG
84,Auvergne et Rhône-Alpes,1418.0672269,3750.0,436.8174727,2020,,,,,,,,,,,,,,2.742857142857143,8.447142857142856,25.0,1.0,,REG
2,Martinique,,,526.31578947,2020,,,,,,,,,,,,,,,,,,,REG
93,Provence-Alpes-Côte d'Azur,1084.9909584,3079.2682927,420.87542088,2020,,,,,,,,,,,,,,7.028571428571429,9.642857142857142,100.0,5.0,,REG
53,Bretagne,1228.8613303,2758.6206897,753.96825397,2020,,,,,,,,,,,,,,7.771428571428571,9.87857142857143,100.0,5.0,,REG
24,Centre-Val de Loire,1194.0298507,2608.6956522,654.20560748,2020,,,,,,,,,,,,,,8.557142857142857,11.34,100.0,5.0,,REG
1,Guadeloupe,858.89570552,1538.4615385,,2020,,,,,,,,,,,,,,,,,,,REG
3,Guyane,378.37837838,1111.1111111,,2020,,,,,,,,,,,,,,,,,,,REG
76,Occitanie,1237.23042,3365.6957929,647.48201439,2020,,,,,,,,,,,,,,6.402857142857143,8.667142857142858,100.0,5.0,,REG
44,Grand Est,1287.1287129,3452.3809524,733.22932917,2020,,,,,,,,,,,,,,9.18142857142857,10.744285714285713,100.0,5.0,,REG
28,Normandie,1333.9222615,4525.5474453,770.87794433,2020,,,,,,,,,,,,,,7.171428571428572,9.472857142857142,100.0,5.0,,REG
84,Auvergne et Rhône-Alpes,1177.0981508,3341.0672854,541.45516074,2020,,,,,,,,,,,,,,2.8242857142857143,9.151428571428571,87.5,4.0,,REG
24,Centre-Val de Loire,917.29323308,2317.0731707,361.99095023,2020,,,,,,,,,,,,,,1.4,8.154285714285715,62.5,3.0,,REG
93,Provence-Alpes-Côte d'Azur,902.77777778,2314.0495868,310.07751938,2020,,,,,,,,,,,,,,5.085714285714286,8.22857142857143,87.5,4.0,,REG
75,Nouvelle Aquitaine,1083.5058661,2467.9487179,641.59292035,2020,,,,,,,,,,,,,,6.228571428571429,8.907142857142857,87.5,4.0,,REG
1,Guadeloupe,955.88235294,2500.0,,2020,,,,,,,,,,,,,,,,,,,REG
94,Corse,1034.4827586,4000.0,0.0,2020,,,,,,,,,,,,,,5.428571428571429,8.414285714285715,87.5,4.0,,REG
4,Réunion,1448.7632509,2957.7464789,,2020,,,,,,,,,,,,,,,,,,,REG
28,Normandie,1192.1182266,2564.1025641,451.61290323,2020,,,,,,,,,,,,,,4.185714285714286,7.57,87.5,4.0,,REG
32,Hauts-de-France,890.0,1708.3333333,482.31511254,2020,,,,,,,,,,,,,,1.6428571428571428,8.45,62.5,3.0,,REG
52,Pays de la Loire,1329.9874529,2170.5426357,554.0166205,2020,,,,,,,,,,,,,,2.5928571428571425,6.422857142857143,87.5,4.0,,REG
44,Grand Est,1366.8287412,2884.6153846,574.91289199,2020,,,,,,,,,,,,,,6.582857142857143,9.278571428571428,75.0,4.0,,REG
